,Court,Surface,Round,PlayerA,PlayerA_Pts,PA_B365,PA_EX,PA_LB,PA_PS,PA_MaxBet,PA_AvgBet,PlayerB,PlayerB_Pts,PB_B365,PB_EX,PB_LB,PB_PS,PB_MaxBet,PB_AvgBet,Rank_Diff,Pt_Diff
11322,1,2,2,108.0,513.0,4.5,4.3,4.33,4.3,4.5,4.36,17.0,1960.0,1.18,1.2,1.2,1.26,1.26,1.21,91.0,-1447.0
11323,1,1,3,40.0,950.0,4.5,3.5,3.75,5.27,5.27,4.26,7.0,4500.0,1.18,1.25,1.25,1.2,1.25,1.22,33.0,-3550.0
11324,1,2,1,72.0,703.0,4.5,4.3,3.75,4.81,4.81,4.34,57.0,845.0,1.18,1.2,1.25,1.22,1.25,1.21,15.0,-142.0
11325,1,1,1,61.0,844.0,4.5,3.75,3.75,4.5,4.5,4.13,44.0,1016.0,1.16,1.25,1.25,1.25,1.25,1.23,17.0,-172.0
11326,1,1,1,100.0,525.0,4.5,4.0,3.75,4.93,4.93,4.3,65.0,760.0,1.16,1.22,1.25,1.22,1.25,1.21,35.0,-235.0
11327,1,2,2,84.0,627.0,4.5,4.5,4.5,5.35,5.35,4.71,18.0,1930.0,1.18,1.18,1.17,1.19,1.19,1.18,66.0,-1303.0
11328,1,2,2,72.0,744.0,4.5,4.0,4.33,4.56,4.56,4.35,18.0,1945.0,1.18,1.2,1.22,1.24,1.24,1.21,54.0,-1201.0
11329,1,1,2,187.0,290.0,4.5,3.75,3.75,4.92,4.92,4.23,18.0,1710.0,1.16,1.25,1.25,1.22,1.25,1.22,169.0,-1420.0
11330,0,1,6,6.0,4405.0,4.5,4.0,4.5,4.38,4.5,4.35,1.0,11420.0,1.18,1.22,1.2,1.26,1.26,1.22,5.0,-7015.0
11331,1,2,1,126.0,486.0,4.5,4.5,4.5,4.73,4.73,4.56,54.0,853.0,1.18,1.18,1.17,1.22,1.22,1.19,72.0,-367.0
11332,0,1,2,278.0,167.0,4.5,4.3,4.5,4.85,4.85,4.54,8.0,3695.0,1.18,1.2,1.17,1.22,1.22,1.19,270.0,-3528.0
11333,1,2,2,91.0,595.0,4.5,4.25,4.33,4.79,4.79,4.47,31.0,1270.0,1.18,1.18,1.2,1.23,1.23,1.2,60.0,-675.0
11334,1,1,3,49.0,935.0,4.5,4.2,5.0,4.8,5.0,4.63,5.0,4850.0,1.18,1.16,1.17,1.23,1.23,1.19,44.0,-3915.0
11335,0,1,2,43.0,1050.0,4.5,4.25,4.33,5.31,5.31,4.6,16.0,1975.0,1.16,1.2,1.2,1.2,1.2,1.19,27.0,-925.0
11336,1,1,1,102.0,600.0,4.5,4.3,4.5,5.12,5.12,4.61,26.0,1495.0,1.18,1.14,1.2,1.21,1.21,1.18,76.0,-895.0
11337,1,1,2,44.0,986.0,4.5,4.3,4.33,4.38,4.5,4.38,9.0,3505.0,1.18,1.18,1.2,1.26,1.26,1.21,35.0,-2519.0
11338,1,2,2,50.0,848.0,4.5,4.5,4.5,4.46,4.5,4.49,14.0,2340.0,1.18,1.18,1.17,1.25,1.25,1.2,36.0,-1492.0
11339,1,1,1,177.0,309.0,4.5,4.0,4.0,4.73,4.73,4.31,80.0,674.0,1.18,1.2,1.22,1.23,1.23,1.21,97.0,-365.0
11340,0,1,1,45.0,1031.0,4.5,4.0,4.33,5.48,5.48,4.58,25.0,1435.0,1.16,1.22,1.2,1.19,1.22,1.19,20.0,-404.0
11341,1,1,1,233.0,191.0,4.5,3.98,4.33,4.88,4.88,4.42,42.0,965.0,1.16,1.22,1.2,1.227,1.23,1.2,191.0,-774.0
11342,1,3,2,56.0,858.0,4.5,4.25,4.5,5.68,5.68,4.73,26.0,1450.0,1.18,1.17,1.2,1.18,1.2,1.18,30.0,-592.0
11343,1,1,1,36.0,1250.0,4.5,3.75,4.5,4.33,4.5,4.27,14.0,2440.0,1.18,1.18,1.2,1.26,1.26,1.21,22.0,-1190.0
11344,0,1,2,107.0,499.0,4.5,4.3,4.5,4.61,4.61,4.48,4.0,6005.0,1.18,1.2,1.17,1.24,1.24,1.2,103.0,-5506.0
11345,1,2,2,53.0,913.0,4.5,4.5,5.0,4.46,5.0,4.62,6.0,4215.0,1.16,1.18,1.14,1.25,1.25,1.18,47.0,-3302.0
11346,1,1,2,53.0,900.0,4.5,4.0,4.0,5.0,5.0,4.38,8.0,3490.0,1.18,1.17,1.22,1.21,1.22,1.2,45.0,-2590.0
11347,1,3,1,210.0,246.0,4.5,4.25,4.33,4.63,4.63,4.43,49.0,955.0,1.16,1.2,1.2,1.23,1.23,1.2,161.0,-709.0
11348,1,3,1,65.0,761.0,4.5,4.5,4.0,4.78,4.78,4.45,43.0,1018.0,1.16,1.18,1.22,1.22,1.22,1.2,22.0,-257.0
11349,1,3,1,204.0,260.0,4.5,5.0,4.5,5.11,5.11,4.78,71.0,685.0,1.16,1.15,1.17,1.2,1.2,1.17,133.0,-425.0
11350,1,3,1,594.0,50.0,4.5,4.3,5.0,5.4,5.4,4.8,192.0,286.0,1.18,1.14,1.17,1.18,1.18,1.17,402.0,-236.0
11351,1,3,1,129.0,434.0,4.5,4.05,4.0,5.61,5.61,4.54,8.0,2780.0,1.16,1.22,1.22,1.18,1.22,1.2,121.0,-2346.0
11352,1,3,2,43.0,1018.0,4.5,4.0,4.5,4.73,4.73,4.43,8.0,2780.0,1.16,1.22,1.2,1.23,1.23,1.2,35.0,-1762.0
11353,1,1,2,144.0,407.0,4.5,4.0,4.33,5.35,5.35,4.55,16.0,2100.0,1.18,1.17,1.17,1.19,1.19,1.18,128.0,-1693.0
11354,1,2,2,581.0,52.0,4.5,4.0,4.5,3.91,4.5,4.23,49.0,947.0,1.18,1.22,1.17,1.3,1.3,1.22,532.0,-895.0
11355,1,2,1,581.0,52.0,4.5,4.0,4.0,5.0,5.0,4.38,281.0,167.0,1.18,1.22,1.22,1.21,1.22,1.21,300.0,-115.0
11356,0,1,2,156.0,325.0,4.5,4.4,4.33,5.35,5.35,4.65,25.0,1400.0,1.18,1.18,1.2,1.19,1.2,1.19,131.0,-1075.0
11357,0,1,1,91.0,576.0,4.5,4.0,4.33,4.02,4.5,4.21,25.0,1400.0,1.18,1.22,1.2,1.28,1.28,1.22,66.0,-824.0
11358,1,3,2,216.0,234.0,4.5,4.25,5.0,4.7,5.0,4.61,14.0,1920.0,1.16,1.2,1.14,1.23,1.23,1.18,202.0,-1686.0
11359,1,3,2,79.0,635.0,4.5,4.0,4.5,5.54,5.54,4.64,19.0,1480.0,1.16,1.22,1.16,1.19,1.22,1.18,60.0,-845.0
11360,1,3,2,124.0,456.0,4.5,4.25,4.33,5.2,5.2,4.57,39.0,1185.0,1.16,1.2,1.2,1.2,1.2,1.19,85.0,-729.0
11361,1,3,3,31.0,1305.0,4.5,4.0,4.5,4.61,4.61,4.4,4.0,6625.0,1.16,1.22,1.2,1.24,1.24,1.21,27.0,-5320.0
